internal_sku,squarespace_product,squarespace_variant,squarespace_sku,quickbooks_item,tannage,color,weight,product_type
HOR-SMP-DUB,Horween Swatch Books,Dublin,SQ6839957,,Dublin,,,sample_book
HOR-HF-CHX-BRN,Horween • Chromexcel® Double Horsefronts,Brown,SQ6612351,DHF Chrxl Brown,Chromexcel,Brown,,horsefront
HOR-STR-CHX-BRN,Horween • Chromexcel® Strips,Brown,SQ6314350,Horsebutt Strips Chrxl Brown,Chromexcel,Brown,,strips
WAL-BUT-NAT-335,Conceria Walpier • Buttero,No Resin - Natural - 3-3.5 oz (1.2-1.4 mm),SQ3452417,Buttero Natural (Resin) 3-3.5,Buttero,Natural,3-3.5,full_hide
HOR-MON-BRN,Horween • Montana Bison,Brown,SQ1753888,Bison Montana Brown 5-6 oz,Montana,Brown,,full_hide
HOR-MON-TAN,Horween • Montana Bison,Polo Tan,SQ7696386,Bison Montana Chocolate 5-6 oz,Montana,Tan,,full_hide
HOR-HF-ASP-COG-45,Horween • Aspen Double Horsefronts,Cognac - 4-5 oz (1.6-2.0 mm),SQ9996292,DHF Aspen Cognac,Aspen,Cognac,4-5,horsefront
HOR-STR,Horween • Russet Horsehide Strips Stained Bundles,Hard Rolled Strips - Regular - 9+ oz,SQ2538618,,,,,strips
HOR-PNL-DUB-ENG-56,Horween Dublin Leather Panels,2’ Panel (12”x24”) - English Tan - 5-6 oz (2-2.4 mm),SQ4882038,Panel Dublin English T 5-6 oz,Dublin,English Tan,5-6,panel
UNKNOWN,Leather Scrap Box,1 Box (5lbs),SQ4989870,,,,,full_hide
HOR-PNL-DRB-NAT-56,Horween Derby Leather Panels,2’ Panel (12”x24”) - Natural - 5-6 oz (2-2.4 mm),SQ6147646,Panel Derby Natural 5-6 oz,Derby,Natural,5-6,panel
HOR-PNL-DUB-BLK-56,Horween Dublin Leather Panels,2’ Panel (12”x24”) - Black - 5-6 oz (2-2.4 mm),SQ1916817,Panel Dublin Black 5-6 oz,Dublin,Black,5-6,panel
WAL-BUT-555,Conceria Walpier • Buttero,No Resin - #9 Red - 5-5.5 oz (2-2.2 mm),SQ2734570,Buttero #100 Black (Res) 5-5.5,Buttero,,5-5.5,full_hide
UNKNOWN,Country Cow,Purple,SQ8181265,,,,,full_hide
WAL-SMP-MUS,Walpier Swatch Books,Museum,SQ5361207,,Museum,,,sample_book
CFS-45,C.F. Stead • Waxy Commander Original,Mole: 4-5 oz (1.6-2.0 mm),SQ5216170,,,,4-5,full_hide
ACC,"Tokonole • Leather Care Cream, Conditioning Balm",,SQ6518084,,,,,accessory
HOR-CYP-BRN-56,Horween • Cypress,Brown - 5-6 oz (2.0-2.4 mm),SQ8862227,Cypress Brown 5-6 oz,Cypress,Brown,5-6,full_hide
WAL-SMP-BUT,Walpier Swatch Books,Buttero,SQ1043203,,Buttero,,,sample_book
ACC,30mm Color 8 Cordovan Belt,Size 32 - Increase Pant Size by 2 for Belt Size - Silver,SQ8031856,,,,,accessory
ACC,Intercom Ecostick 1816B • Water-Based Leather Glue,250 ml (8.5 fl oz),SQ7891955,,,,,accessory
HOR-STR-79,Horween • Russet Horsehide Strips,Soft Rolled Strips - 7-9 oz,SQ2005059,,,,7-9,strips
HOR-PNL-DUB-OLD-34,Horween Dublin Leather Panels,1’ Panel (12”x12”) - Olde English - 3-4 oz (1.2-1.6 mm),SQ1826435,Panel Dublin Olde Eng 3.5-4 oz,Dublin,Olde English,3-4,panel
HOR-PNL-DUB-ENG-34,Horween Dublin Leather Panels,1’ Panel (12”x12”) - English Tan - 3-4 oz (1.2-1.6 mm),SQ8194798,Panel Dublin English T 3.5-4 oz,Dublin,English Tan,3-4,panel
ACC,"Tokonole • Leather Burnishing Gum, Clear",120 g,SQ7535720,,,,,accessory
HOR-SMP-DRB,Horween Swatch Books,Derby,SQ1265782,,Derby,,,sample_book
HOR-HF-ASP-GRE-45,Horween • Aspen Double Horsefronts,Green - 4-5 oz (1.6-2.0 mm),SQ8070761,DHF Aspen Green,Aspen,Green,4-5,horsefront
TUS,Tusting & Burnett • Mad Dog®,Mojito,SQ5287262,,,,,full_hide
