SquarespaceProductName,QuickBooksItem
Horween Swatch Books - Dublin,Sample Book - All Horween
Horween • Chromexcel® Double Horsefronts - Brown,DHF Chrxl Brown
Horween • Chromexcel® Strips - Brown,Horsebutt Strips Chrxl Brown
Conceria Walpier • Buttero - No Resin - Natural - 3-3.5 oz (1.2-1.4 mm),Buttero Natural (Resin) 3-3.5
Horween • Montana Bison - Brown,Bison Montana Brown 5-6 oz
Horween • Montana Bison - Polo Tan,Bison Montana Chocolate 5-6 oz
Horween • Aspen Double Horsefronts - Cognac - 4-5 oz (1.6-2.0 mm),DHF Aspen Cognac
Horween • Russet Horsehide Strips Stained Bundles - Hard Rolled Strips - Regular - 9+ oz,Russet Strips HR 9 oz and up
Horween Dublin Leather Panels - 2’ Panel (12”x24”) - English Tan - 5-6 oz (2-2.4 mm),Panel Dublin English T 5-6 oz
Leather Scrap Box - 1 Box (5lbs),Scrap Leather
Horween Derby Leather Panels - 2’ Panel (12”x24”) - Natural - 5-6 oz (2-2.4 mm),Panel Derby Natural 5-6 oz
Horween Dublin Leather Panels - 2’ Panel (12”x24”) - Black - 5-6 oz (2-2.4 mm),Panel Dublin Black 5-6 oz
Conceria Walpier • Buttero - No Resin - #9 Red - 5-5.5 oz (2-2.2 mm),Buttero #100 Black (Res) 5-5.5
Walpier Swatch Books - Museum,Sample Book - All Walpier
C.F. Stead • Waxy Commander Original - Mole: 4-5 oz (1.6-2.0 mm),Waxy Commander Mole
"Tokonole • Leather Care Cream, Conditioning Balm",Tokonole Leather Care Cream
Horween • Cypress - Brown - 5-6 oz (2.0-2.4 mm),Cypress Brown 5-6 oz
Walpier Swatch Books - Buttero,Sample Book - All Walpier
30mm Color 8 Cordovan Belt - Size 32 - Increase Pant Size by 2 for Belt Size - Silver,Commission
Intercom Ecostick 1816B • Water-Based Leather Glue - 250 ml (8.5 fl oz),Ecostick 1816B
Horween • Russet Horsehide Strips - Soft Rolled Strips - 7-9 oz,Russet Strips SR 7-9 oz
Horween Dublin Leather Panels - 1’ Panel (12”x12”) - Olde English - 3-4 oz (1.2-1.6 mm),Panel Dublin Olde Eng 3.5-4 oz
Horween Dublin Leather Panels - 1’ Panel (12”x12”) - English Tan - 3-4 oz (1.2-1.6 mm),Panel Dublin English T 3.5-4 oz
"Tokonole • Leather Burnishing Gum, Clear - 120 g",Tokonole Clear 120g
Horween Swatch Books - Derby,Sample Book - All Horween
Horween • Aspen Double Horsefronts - Green - 4-5 oz (1.6-2.0 mm),DHF Aspen Green
Tusting & Burnett • Mad Dog® - Mojito,T&B Mad Dog Mojito 2-2.5 oz
Tusting & Burnett • Mad Dog® - Coyote,T&B Mad Dog Coyote 2-2.5 oz
Intercom Ecostick 1816B • Water-Based Leather Glue - 1 Liter (33.8 fl oz),Ecostick 1816B
Horween • Derby - Light Natural - 5-6 oz (2.0 –  2.4 mm),Derby Light Natural 5-6 oz
Horween Dublin Leather Panels - 2’ Panel (12”x24”) - Olde English - 3-4 oz (1.2-1.6 mm),Panel Dublin Olde Eng 3.5-4 oz
Horween Derby Leather Panels - 2’ Panel (12”x24”) - Brown Nut - 5-6 oz (2-2.4 mm),Panel Derby Brown Nut 5-6 oz
